Voyage ID,Ship ID,Ship Name,Encounter Hex,True Encounter Type,Logged Encounter Type,Damage Taken
21,19,Mopey Goose,Hex P12,Reef,Reef,7%
21,19,Mopey Goose,Hex N11,Storm,Storm,7%
21,19,Mopey Goose,Hex N13,Harpies,Harpies,4%
21,19,Mopey Goose,Hex N13,Reef,Reef,37%
22,76,Purple Diamond,Hex R10,Iceberg,None,0%
22,76,Purple Diamond,Hex Q9,Reef,Reef,24%
22,76,Purple Diamond,Hex Q9,Iceberg,None,0%
22,76,Purple Diamond,Hex Q8,Storm,Storm,7%
23,16,Mopey Diamond,Hex F10,Iceberg,None,0%
24,9,Saucy Duck,Hex I14,Harpies,Harpies,0%
24,9,Saucy Duck,Hex I14,Sharks,Sharks,7%
24,9,Saucy Duck,Hex J13,Kraken,Kraken,4%
24,9,Saucy Duck,Hex H13,Pirates,Pirates,30%
25,53,Red Bottom,Hex P6,Iceberg,None,0%
25,53,Red Bottom,Hex O7,Reef,Reef,7%
25,53,Red Bottom,Hex N7,Storm,Storm,4%
25,53,Red Bottom,Hex N7,Iceberg,None,0%
25,53,Red Bottom,Hex P6,Iceberg,None,0%
26,15,Purple Falcon,Hex J6,Iceberg,None,0%
26,15,Purple Falcon,Hex J4,Iceberg,None,0%
27,3,Black Tortoise,Hex F0,Iceberg,None,0%
27,3,Black Tortoise,Hex H1,Reef,Reef,7%
27,3,Black Tortoise,Hex I2,Iceberg,None,0%
28,45,Golden Tortoise,Hex G7,Kraken,Kraken,30%
28,45,Golden Tortoise,Hex G7,Sharks,Sharks,0%
28,45,Golden Tortoise,Hex G7,Iceberg,None,0%
28,45,Golden Tortoise,Hex H6,Iceberg,None,0%
28,45,Golden Tortoise,Hex H5,Iceberg,None,0%
29,81,Silver Diamond,Hex R13,Kraken,Kraken,15%
29,81,Silver Diamond,Hex R13,Sharks,Sharks,10%
29,81,Silver Diamond,Hex S11,Storm,Storm,0%
30,52,Saucy Pearl,Hex I11,Sharks,Sharks,5%
31,27,Black Heart,Hex G12,Sharks,Sharks,0%
31,27,Black Heart,Hex G9,Iceberg,None,0%
31,27,Black Heart,Hex H8,Harpies,Harpies,0%
31,27,Black Heart,Hex H8,Iceberg,None,0%
31,27,Black Heart,Hex G7,Kraken,Kraken,0%
31,27,Black Heart,Hex G7,Iceberg,None,0%
31,27,Black Heart,Hex H6,Kraken,Kraken,30%
31,27,Black Heart,Hex H6,Iceberg,None,0%
31,27,Black Heart,Hex I4,Iceberg,Iceberg,15%
32,61,Orange Bottom,Hex I13,Sharks,Sharks,0%
32,61,Orange Bottom,Hex J13,Atlantean Merfolk,Sharks,5%
32,61,Orange Bottom,Hex I13,Atlantean Merfolk,Merfolk,160%
33,54,White Pearl,Hex Q5,Iceberg,None,0%
33,54,White Pearl,Hex R5,Harpies,Harpies,20%
34,43,Saucy Heart,Hex P6,Iceberg,None,0%
34,43,Saucy Heart,Hex L4,Iceberg,None,0%
34,43,Saucy Heart,Hex K3,Reef,Reef,5%
34,43,Saucy Heart,Hex K3,Storm,Storm,20%
34,43,Saucy Heart,Hex J3,Iceberg,None,0%
35,17,White Heart,Hex J4,Iceberg,None,0%
35,17,White Heart,Hex I5,Iceberg,None,0%
35,17,White Heart,Hex I6,Iceberg,None,0%
35,17,White Heart,Hex I7,Pirates,Pirates,20%
35,17,White Heart,Hex I7,Iceberg,None,0%
35,17,White Heart,Hex I8,Reef,Reef,24%
35,17,White Heart,Hex H7,Iceberg,None,0%
35,17,White Heart,Hex I6,Iceberg,None,0%
35,17,White Heart,Hex I6,Sharks,Sharks,0%
36,59,Silver Falcon,Hex R11,Harpies,Harpies,0%
36,59,Silver Falcon,Hex R11,Kraken,Kraken,0%
36,59,Silver Falcon,Hex R12,Kraken,Kraken,20%
37,8,Silver Tortoise,Hex L14,Storm,Storm,20%
38,39,Orange Pearl,Hex L15,Reef,Reef,7%
38,39,Orange Pearl,Hex M15,Dragon,Dragon,100%
39,13,Golden Heart,Hex L13,Sharks,Sharks,4%
39,13,Golden Heart,Hex K13,Atlantean Merfolk,Merfolk,17%
39,13,Golden Heart,Hex J13,Harpies,Harpies,0%
41,36,White Falcon,Hex N15,Storm,Storm,5%
42,72,Saucy Hind,Hex H10,Kraken,Kraken,4%
42,72,Saucy Hind,Hex H10,Iceberg,None,0%
42,72,Saucy Hind,Hex H8,Iceberg,None,0%
42,72,Saucy Hind,Hex H8,Storm,Storm,0%
42,72,Saucy Hind,Hex G7,Iceberg,None,0%
42,72,Saucy Hind,Hex H5,Iceberg,Iceberg,14%
43,2,Black Swan,Hex Q5,Iceberg,None,0%
43,2,Black Swan,Hex Q4,Iceberg,None,0%
43,2,Black Swan,Hex P4,Iceberg,None,0%
44,73,Bloody Pearl,Hex P4,Harpies,Harpies,0%
44,73,Bloody Pearl,Hex O4,Pirates,Pirates,34%
44,73,Bloody Pearl,Hex O4,Iceberg,None,0%
44,73,Bloody Pearl,Hex M4,Iceberg,None,0%
44,73,Bloody Pearl,Hex M4,Storm,Storm,20%
44,73,Bloody Pearl,Hex L4,Reef,Reef,87%
45,77,Bloody Goose,Hex P5,Iceberg,None,0%
46,66,Saucy Falcon,Hex K4,Iceberg,None,0%
46,66,Saucy Falcon,Hex L4,Iceberg,None,0%
46,66,Saucy Falcon,Hex K4,Iceberg,None,0%
46,66,Saucy Falcon,Hex J4,Sharks,Sharks,10%
47,47,Gray Heart,Hex J3,Iceberg,None,0%
47,47,Gray Heart,Hex J3,Sharks,Sharks,4%
47,47,Gray Heart,Hex L5,Pirates,Pirates,10%
47,47,Gray Heart,Hex O6,Iceberg,None,0%
47,47,Gray Heart,Hex P6,Harpies,Harpies,0%
48,34,Bloody Swan,Hex J6,Iceberg,None,0%
48,34,Bloody Swan,Hex K8,Warlock,Wyrd Majick Fyre,60%
48,34,Bloody Swan,Hex K8,Storm,Storm,10%
48,34,Bloody Swan,Hex L10,Harpies,Harpies,10%
48,34,Bloody Swan,Hex N13,Storm,Storm,15%
48,34,Bloody Swan,Hex O14,Reef,Reef,10%
49,80,Orange Heart,Hex K2,Reef,Reef,17%
49,80,Orange Heart,Hex K1,Iceberg,None,0%
49,80,Orange Heart,Hex L1,Reef,Reef,14%
49,80,Orange Heart,Hex L1,Iceberg,None,0%
49,80,Orange Heart,Hex M1,Iceberg,None,0%
49,80,Orange Heart,Hex L1,Harpies,Harpies,7%
49,80,Orange Heart,Hex K1,Reef,Reef,7%
49,80,Orange Heart,Hex K1,Iceberg,None,0%
49,80,Orange Heart,Hex K1,Storm,Storm,7%
49,80,Orange Heart,Hex K2,Iceberg,None,0%
49,80,Orange Heart,Hex J3,Iceberg,None,0%
50,56,Green Heart,Hex O16,Sharks,Sharks,0%
50,56,Green Heart,Hex N16,Pirates,Pirates,7%
50,56,Green Heart,Hex M16,Harpies,Harpies,4%
51,57,Rusty Hind,Hex O10,Iceberg,None,0%
51,57,Rusty Hind,Hex P12,Pirates,Pirates,0%
51,57,Rusty Hind,Hex P12,Reef,Reef,20%
51,57,Rusty Hind,Hex P13,Reef,Reef,10%
51,57,Rusty Hind,Hex Q14,Pirates,Pirates,20%
53,64,Scurvy Swan,Hex H10,Kraken,Kraken,30%
53,64,Scurvy Swan,Hex H8,Harpies,Harpies,4%
53,64,Scurvy Swan,Hex H8,Iceberg,None,0%
53,64,Scurvy Swan,Hex H8,Storm,Storm,17%
53,64,Scurvy Swan,Hex H5,Iceberg,None,0%
53,64,Scurvy Swan,Hex I4,Iceberg,None,0%
54,24,Mopey Hind,Hex Q7,Iceberg,None,0%
54,24,Mopey Hind,Hex Q8,Iceberg,None,0%
55,32,Bloody Falcon,Hex O6,Iceberg,None,0%
55,32,Bloody Falcon,Hex N7,Iceberg,None,0%
55,32,Bloody Falcon,Hex N7,Storm,Storm,4%
55,32,Bloody Falcon,Hex M7,Storm,Storm,0%
55,32,Bloody Falcon,Hex L7,Sharks,Sharks,4%
55,32,Bloody Falcon,Hex M6,Iceberg,None,0%
55,32,Bloody Falcon,Hex O6,Iceberg,None,0%
56,11,Black Pearl,Hex Q5,Iceberg,None,0%
56,11,Black Pearl,Hex R4,Iceberg,None,0%
56,11,Black Pearl,Hex R3,Iceberg,None,0%
56,11,Black Pearl,Hex R4,Iceberg,None,0%
56,11,Black Pearl,Hex R4,Sharks,Sharks,0%
56,11,Black Pearl,Hex Q5,Pirates,Pirates,20%
57,41,Scurvy Tortoise,Hex P6,Iceberg,Iceberg,14%
57,41,Scurvy Tortoise,Hex O6,Iceberg,None,0%
57,41,Scurvy Tortoise,Hex N7,Harpies,Harpies,0%
57,41,Scurvy Tortoise,Hex L7,Pirates,Pirates,24%
57,41,Scurvy Tortoise,Hex L7,Kraken,Kraken,10%
57,41,Scurvy Tortoise,Hex L7,Sharks,Sharks,0%
57,41,Scurvy Tortoise,Hex L8,Iceberg,None,0%
57,41,Scurvy Tortoise,Hex K8,Iceberg,None,0%
57,41,Scurvy Tortoise,Hex J9,Iceberg,None,0%
57,41,Scurvy Tortoise,Hex I9,Iceberg,None,0%
58,28,Black Falcon,Hex K4,Iceberg,Iceberg,30%
58,28,Black Falcon,Hex K4,Storm,Storm,5%
58,28,Black Falcon,Hex M3,Reef,Reef,5%
58,28,Black Falcon,Hex M3,Iceberg,Iceberg,5%
58,28,Black Falcon,Hex M4,Iceberg,None,0%
58,28,Black Falcon,Hex L4,Reef,Reef,30%
58,28,Black Falcon,Hex L4,Iceberg,None,0%
58,28,Black Falcon,Hex K3,Harpies,Harpies,0%
59,75,Orange Tortoise,Hex R12,Harpies,Harpies,14%
60,55,Scurvy Goose,Hex Q12,Storm,Storm,10%
60,55,Scurvy Goose,Hex P11,Pirates,Pirates,0%
60,55,Scurvy Goose,Hex P9,Reef,Reef,7%
60,55,Scurvy Goose,Hex P8,Sharks,Sharks,4%
60,55,Scurvy Goose,Hex P7,Iceberg,None,0%
61,79,Scurvy Pearl,Hex R14,Storm,Storm,0%
61,79,Scurvy Pearl,Hex R13,Kraken,Kraken,30%
62,85,Rusty Diamond,Hex H13,Sharks,Sharks,10%
63,58,White Tortoise,Hex R5,Iceberg,None,0%
63,58,White Tortoise,Hex S5,Pirates,Pirates,70%
63,58,White Tortoise,Hex Q5,Harpies,Harpies,0%
63,58,White Tortoise,Hex Q5,Iceberg,None,0%
64,7,Silver Heart,Hex N3,Iceberg,None,0%
64,7,Silver Heart,Hex M3,Iceberg,None,0%
64,7,Silver Heart,Hex N3,Harpies,Harpies,14%
64,7,Silver Heart,Hex O4,Iceberg,None,0%
64,7,Silver Heart,Hex O5,Iceberg,Iceberg,10%
64,7,Silver Heart,Hex P5,Iceberg,None,0%
65,12,Saucy Diamond,Hex P5,Iceberg,None,0%
65,12,Saucy Diamond,Hex O4,Iceberg,None,0%
66,50,Orange Falcon,Hex O7,Iceberg,None,0%
66,50,Orange Falcon,Hex O7,Sharks,Sharks,0%
66,50,Orange Falcon,Hex N8,Harpies,Harpies,0%
66,50,Orange Falcon,Hex N8,Reef,Reef,24%
66,50,Orange Falcon,Hex N8,Iceberg,None,0%
66,50,Orange Falcon,Hex M9,Dread Pirate Calamity,Pirates,34%
66,50,Orange Falcon,Hex M9,Sharks,Sharks,4%
66,50,Orange Falcon,Hex L9,Reef,Reef,4%
66,50,Orange Falcon,Hex L9,Iceberg,None,0%
66,50,Orange Falcon,Hex L9,Atlantean Merfolk,Merfolk,0%
66,50,Orange Falcon,Hex K9,Iceberg,None,0%
66,50,Orange Falcon,Hex K9,Atlantean Merfolk,Sharks,4%
66,50,Orange Falcon,Hex J9,Pirates,Pirates,10%
66,50,Orange Falcon,Hex J9,Iceberg,None,0%
66,50,Orange Falcon,Hex J9,Warlock,Wyrd Majick Fyre,30%
67,46,Bloody Diamond,Hex K3,Iceberg,None,0%
67,46,Bloody Diamond,Hex L4,Pirates,Pirates,24%
67,46,Bloody Diamond,Hex M4,Iceberg,None,0%
68,48,Scurvy Heart,Hex Q13,Pirates,Pirates,40%
68,48,Scurvy Heart,Hex Q13,Harpies,Harpies,15%
68,48,Scurvy Heart,Hex Q13,Storm,Storm,25%
69,30,Gray Goose,Hex Q12,Pirates,Pirates,40%
69,30,Gray Goose,Hex R10,Iceberg,None,0%
69,30,Gray Goose,Hex R10,Storm,Storm,0%
69,30,Gray Goose,Hex Q9,Storm,Storm,0%
69,30,Gray Goose,Hex Q7,Iceberg,None,0%
69,30,Gray Goose,Hex Q7,Dragon,Dragon,0%
70,19,Mopey Goose,Hex K13,Kraken,Kraken,100%
71,4,Purple Duck,Hex Q16,Storm,Storm,30%
71,4,Purple Duck,Hex R16,Pirates,Pirates,80%
72,22,Silver Goose,Hex E15,Sharks,Sharks,15%
72,22,Silver Goose,Hex F14,Harpies,Harpies,0%
73,26,Mopey Duck,Hex H10,Kraken,Kraken,4%
73,26,Mopey Duck,Hex H10,Iceberg,None,0%
73,26,Mopey Duck,Hex I8,Harpies,Harpies,14%
73,26,Mopey Duck,Hex I8,Dragon,Dragon,0%
73,26,Mopey Duck,Hex H6,Harpies,Harpies,14%
73,26,Mopey Duck,Hex H6,Iceberg,None,0%
73,26,Mopey Duck,Hex H5,Sharks,Sharks,7%
74,70,Red Hind,Hex I14,Reef,Reef,10%
74,70,Red Hind,Hex I14,Sharks,Sharks,15%
75,44,Purple Swan,Hex I11,Storm,Storm,20%
75,44,Purple Swan,Hex K10,Dread Pirate Calamity,Pirates,30%
75,44,Purple Swan,Hex K10,Iceberg,None,0%
75,44,Purple Swan,Hex J10,Iceberg,None,0%
75,44,Purple Swan,Hex J10,Sharks,Sharks,0%
76,76,Purple Diamond,Hex Q9,Iceberg,None,0%
76,76,Purple Diamond,Hex Q9,Storm,Storm,0%
76,76,Purple Diamond,Hex R10,Iceberg,None,0%
76,76,Purple Diamond,Hex R10,Iceberg,None,0%
76,76,Purple Diamond,Hex Q9,Reef,Reef,7%
76,76,Purple Diamond,Hex Q9,Storm,Storm,4%
76,76,Purple Diamond,Hex Q8,Storm,Storm,0%
76,76,Purple Diamond,Hex P7,Iceberg,None,0%
76,76,Purple Diamond,Hex P7,Sharks,Sharks,0%
77,1,Purple Pearl,Hex O7,Iceberg,None,0%
77,1,Purple Pearl,Hex N7,Pirates,Pirates,0%
77,1,Purple Pearl,Hex N7,Reef,Reef,14%
77,1,Purple Pearl,Hex M8,Atlantean Merfolk,Merfolk,0%
77,1,Purple Pearl,Hex N7,Sharks,Sharks,0%
77,1,Purple Pearl,Hex N7,Dragon,Dragon,14%
77,1,Purple Pearl,Hex O7,Pirates,Pirates,20%
77,1,Purple Pearl,Hex O7,Iceberg,None,0%
78,65,Orange Duck,Hex O5,Iceberg,None,0%
78,65,Orange Duck,Hex N4,Iceberg,None,0%
78,65,Orange Duck,Hex M4,Iceberg,None,0%
78,65,Orange Duck,Hex L4,Iceberg,None,0%
78,65,Orange Duck,Hex J3,Iceberg,None,0%
79,5,Green Falcon,Hex O5,Iceberg,None,0%
79,5,Green Falcon,Hex N5,Pirates,Pirates,17%
79,5,Green Falcon,Hex N4,Iceberg,Iceberg,4%
79,5,Green Falcon,Hex M3,Iceberg,None,0%
79,5,Green Falcon,Hex N3,Iceberg,None,0%
79,5,Green Falcon,Hex O3,Kraken,Kraken,30%
79,5,Green Falcon,Hex O3,Storm,Storm,4%
79,5,Green Falcon,Hex P4,Iceberg,None,0%
79,5,Green Falcon,Hex P5,Harpies,Harpies,4%
79,5,Green Falcon,Hex P5,Iceberg,None,0%
80,38,Rusty Swan,Hex I4,Harpies,Harpies,0%
80,38,Rusty Swan,Hex I4,Dragon,Dragon,10%
80,38,Rusty Swan,Hex H4,Iceberg,None,0%
80,38,Rusty Swan,Hex F4,Sharks,Sharks,7%
80,38,Rusty Swan,Hex E4,Reef,Reef,17%
80,38,Rusty Swan,Hex E4,Iceberg,None,0%
80,38,Rusty Swan,Hex F4,Iceberg,None,0%
80,38,Rusty Swan,Hex G4,Reef,Reef,4%
80,38,Rusty Swan,Hex H4,Reef,Reef,10%
80,38,Rusty Swan,Hex I4,Iceberg,None,0%
81,81,Silver Diamond,Hex P13,Reef,Reef,95%
81,81,Silver Diamond,Hex P12,Storm,Storm,0%
81,81,Silver Diamond,Hex N8,Reef,Reef,5%
81,81,Silver Diamond,Hex N8,Atlantean Merfolk,Merfolk,0%
82,51,Golden Goose,Hex O15,Sharks,Sharks,0%
82,51,Golden Goose,Hex L13,Storm,Storm,15%
82,51,Golden Goose,Hex K13,Kraken,Kraken,0%
83,87,Orange Bottom,Hex Q10,Pirates,Pirates,15%
84,68,Mopey Heart,Hex Q13,Storm,Storm,10%
84,68,Mopey Heart,Hex Q12,St. Bert's Fire,Wyrd Majick Fyre,5%
85,18,Gray Swan,Hex G7,Kraken,Kraken,14%
85,18,Gray Swan,Hex H6,Iceberg,None,0%
85,18,Gray Swan,Hex H5,Sharks,Sharks,0%
85,18,Gray Swan,Hex I4,Iceberg,Iceberg,17%
87,23,Silver Duck,Hex P5,Iceberg,None,0%
87,23,Silver Duck,Hex M4,Iceberg,None,0%
87,23,Silver Duck,Hex K3,Reef,Reef,4%
87,23,Silver Duck,Hex K3,Iceberg,None,0%
87,23,Silver Duck,Hex J3,Iceberg,Iceberg,14%
88,20,Gray Hind,Hex O5,Iceberg,None,0%
88,20,Gray Hind,Hex O4,Iceberg,None,0%
88,20,Gray Hind,Hex N4,Iceberg,None,0%
88,20,Gray Hind,Hex M4,Iceberg,None,0%
88,20,Gray Hind,Hex K4,Iceberg,None,0%
89,42,Golden Swan,Hex O6,Iceberg,None,0%
89,42,Golden Swan,Hex N6,Sharks,Sharks,10%
89,42,Golden Swan,Hex J4,Iceberg,None,0%
90,6,Green Pearl,Hex H2,Iceberg,Iceberg,15%
90,6,Green Pearl,Hex G2,Iceberg,None,0%
90,6,Green Pearl,Hex G2,Iceberg,None,0%
90,6,Green Pearl,Hex H2,Dragon,Dragon,90%
91,82,Green Tortoise,Hex P12,Reef,Reef,4%
93,36,White Falcon,Hex P12,Reef,Reef,10%
93,36,White Falcon,Hex P12,Storm,Storm,0%
94,59,Silver Falcon,Hex O15,Harpies,Harpies,14%
97,83,Green Swan,Hex H13,Sharks,Sharks,7%
97,83,Green Swan,Hex I15,Harpies,Harpies,0%
98,78,Gray Duck,Hex I15,Reef,Reef,30%
99,60,Green Hind,Hex P9,Reef,Reef,4%
99,60,Green Hind,Hex O11,Storm,Storm,7%
99,60,Green Hind,Hex P12,Harpies,Harpies,0%
100,21,Rusty Pearl,Hex O6,Iceberg,None,0%
100,21,Rusty Pearl,Hex N6,Iceberg,None,0%
100,21,Rusty Pearl,Hex M6,Kraken,Kraken,15%
100,21,Rusty Pearl,Hex M6,Iceberg,Iceberg,25%
100,21,Rusty Pearl,Hex M6,Atlantean Merfolk,Merfolk,0%
100,21,Rusty Pearl,Hex K8,Warlock,Wyrd Majick Fyre,25%
100,21,Rusty Pearl,Hex J9,Reef,Reef,5%
100,21,Rusty Pearl,Hex I9,Warlock,Wyrd Majick Fyre,20%
100,21,Rusty Pearl,Hex I10,Sharks,Sharks,5%
101,54,White Pearl,Hex P6,Harpies,Harpies,15%
101,54,White Pearl,Hex N4,Iceberg,None,0%
101,54,White Pearl,Hex M4,Iceberg,None,0%
101,54,White Pearl,Hex M4,Storm,Storm,20%
101,54,White Pearl,Hex K4,Harpies,Harpies,5%
101,54,White Pearl,Hex J4,Iceberg,None,0%
102,80,Orange Heart,Hex J4,Iceberg,None,0%
102,80,Orange Heart,Hex K4,Iceberg,None,0%
102,80,Orange Heart,Hex L4,Iceberg,None,0%
102,80,Orange Heart,Hex L5,Storm,Storm,7%
102,80,Orange Heart,Hex M6,Iceberg,None,0%
102,80,Orange Heart,Hex L6,Iceberg,None,0%
102,80,Orange Heart,Hex J5,Iceberg,None,0%
102,80,Orange Heart,Hex J4,Iceberg,None,0%
103,24,Mopey Hind,Hex N13,Harpies,Harpies,7%
103,24,Mopey Hind,Hex N13,Reef,Reef,7%
103,24,Mopey Hind,Hex O14,Sharks,Sharks,4%
103,24,Mopey Hind,Hex O15,Sharks,Sharks,0%
104,90,Mopey Tortoise,Hex P13,Sharks,Sharks,0%
104,90,Mopey Tortoise,Hex P9,Reef,Reef,20%
104,90,Mopey Tortoise,Hex Q8,Reef,Reef,4%
105,57,Rusty Hind,Hex M14,Storm,Storm,20%
105,57,Rusty Hind,Hex L14,Storm,Storm,10%
106,62,Red Goose,Hex G12,Pirates,Pirates,0%
106,62,Red Goose,Hex G12,Sharks,Sharks,4%
106,62,Red Goose,Hex F10,Pirates,Pirates,0%
106,62,Red Goose,Hex E10,Harpies,Harpies,7%
107,77,Bloody Goose,Hex O6,Pirates,Pirates,45%
107,77,Bloody Goose,Hex O6,Iceberg,None,0%
107,77,Bloody Goose,Hex N6,Harpies,Harpies,5%
107,77,Bloody Goose,Hex N6,Iceberg,None,0%
107,77,Bloody Goose,Hex O6,Iceberg,None,0%
108,74,White Goose,Hex P6,Iceberg,None,0%
108,74,White Goose,Hex P6,Sharks,Sharks,10%
108,74,White Goose,Hex O5,Pirates,Pirates,50%
108,74,White Goose,Hex O5,Iceberg,None,0%
108,74,White Goose,Hex O4,Iceberg,None,0%
108,74,White Goose,Hex N4,Iceberg,Iceberg,20%
108,74,White Goose,Hex M4,Iceberg,None,0%
108,74,White Goose,Hex L4,Iceberg,None,0%
108,74,White Goose,Hex L4,Storm,Storm,0%
108,74,White Goose,Hex J4,Harpies,Harpies,0%
108,74,White Goose,Hex J4,Iceberg,None,0%
109,43,Saucy Heart,Hex J3,Iceberg,None,0%
109,43,Saucy Heart,Hex L5,Iceberg,None,0%
109,43,Saucy Heart,Hex M6,Iceberg,None,0%
109,43,Saucy Heart,Hex P13,Reef,Reef,15%
109,43,Saucy Heart,Hex Q14,Storm,Storm,10%
110,25,Saucy Goose,Hex Q13,Sharks,Sharks,15%
