Voyage ID,Ship ID,Ship Name,Encounter Hex,Encounter Type,Damage Taken
42,72,Saucy Hind,Hex H8,Storm,0%
42,72,Saucy Hind,Hex H5,Iceberg,14%
46,66,Saucy Falcon,Hex J4,Sharks,10%
47,47,Gray Heart,Hex J3,Sharks,4%
47,47,Gray Heart,Hex L5,Pirates,10%
47,47,Gray Heart,Hex P6,Harpies,0%
49,80,Orange Heart,Hex K2,Reef,17%
49,80,Orange Heart,Hex L1,Reef,14%
49,80,Orange Heart,Hex L1,Harpies,7%
49,80,Orange Heart,Hex K1,Reef,7%
49,80,Orange Heart,Hex K1,Storm,7%
50,56,Green Heart,Hex O16,Sharks,0%
50,56,Green Heart,Hex N16,Pirates,7%
50,56,Green Heart,Hex M16,Harpies,4%
51,57,Rusty Hind,Hex P12,Pirates,0%
51,57,Rusty Hind,Hex P12,Reef,20%
51,57,Rusty Hind,Hex P13,Reef,10%
51,57,Rusty Hind,Hex Q14,Pirates,20%
53,64,Scurvy Swan,Hex H10,Kraken,30%
53,64,Scurvy Swan,Hex H8,Harpies,4%
53,64,Scurvy Swan,Hex H8,Storm,17%
55,32,Bloody Falcon,Hex N7,Storm,4%
55,32,Bloody Falcon,Hex M7,Storm,0%
55,32,Bloody Falcon,Hex L7,Sharks,4%
56,11,Black Pearl,Hex R4,Sharks,0%
56,11,Black Pearl,Hex Q5,Pirates,20%
57,41,Scurvy Tortoise,Hex P6,Iceberg,14%
57,41,Scurvy Tortoise,Hex N7,Harpies,0%
57,41,Scurvy Tortoise,Hex L7,Pirates,24%
57,41,Scurvy Tortoise,Hex L7,Kraken,10%
57,41,Scurvy Tortoise,Hex L7,Sharks,0%
58,28,Black Falcon,Hex K4,Iceberg,30%
58,28,Black Falcon,Hex K4,Storm,5%
58,28,Black Falcon,Hex M3,Reef,5%
58,28,Black Falcon,Hex M3,Iceberg,5%
58,28,Black Falcon,Hex L4,Reef,30%
58,28,Black Falcon,Hex K3,Harpies,0%
59,75,Orange Tortoise,Hex R12,Harpies,14%
60,55,Scurvy Goose,Hex Q12,Storm,10%
60,55,Scurvy Goose,Hex P11,Pirates,0%
60,55,Scurvy Goose,Hex P9,Reef,7%
60,55,Scurvy Goose,Hex P8,Sharks,4%
61,79,Scurvy Pearl,Hex R14,Storm,0%
61,79,Scurvy Pearl,Hex R13,Kraken,30%
62,85,Rusty Diamond,Hex H13,Sharks,10%
63,58,White Tortoise,Hex S5,Pirates,70%
63,58,White Tortoise,Hex Q5,Harpies,0%
64,7,Silver Heart,Hex N3,Harpies,14%
64,7,Silver Heart,Hex O5,Iceberg,10%
67,46,Bloody Diamond,Hex L4,Pirates,24%
68,48,Scurvy Heart,Hex Q13,Pirates,40%
68,48,Scurvy Heart,Hex Q13,Harpies,15%
68,48,Scurvy Heart,Hex Q13,Storm,25%
69,30,Gray Goose,Hex Q12,Pirates,40%
69,30,Gray Goose,Hex R10,Storm,0%
69,30,Gray Goose,Hex Q9,Storm,0%
69,30,Gray Goose,Hex Q7,Dragon,0%
72,22,Silver Goose,Hex E15,Sharks,15%
72,22,Silver Goose,Hex F14,Harpies,0%
73,26,Mopey Duck,Hex H10,Kraken,4%
73,26,Mopey Duck,Hex I8,Harpies,14%
73,26,Mopey Duck,Hex I8,Dragon,0%
73,26,Mopey Duck,Hex H6,Harpies,14%
73,26,Mopey Duck,Hex H5,Sharks,7%
74,70,Red Hind,Hex I14,Reef,10%
74,70,Red Hind,Hex I14,Sharks,15%
75,44,Purple Swan,Hex I11,Storm,20%
75,44,Purple Swan,Hex K10,Pirates,30%
75,44,Purple Swan,Hex J10,Sharks,0%
76,76,Purple Diamond,Hex Q9,Storm,0%
76,76,Purple Diamond,Hex Q9,Reef,7%
76,76,Purple Diamond,Hex Q9,Storm,4%
76,76,Purple Diamond,Hex Q8,Storm,0%
76,76,Purple Diamond,Hex P7,Sharks,0%
77,1,Purple Pearl,Hex N7,Pirates,0%
77,1,Purple Pearl,Hex N7,Reef,14%
77,1,Purple Pearl,Hex M8,Merfolk,0%
77,1,Purple Pearl,Hex N7,Sharks,0%
77,1,Purple Pearl,Hex N7,Dragon,14%
77,1,Purple Pearl,Hex O7,Pirates,20%
79,5,Green Falcon,Hex N5,Pirates,17%
79,5,Green Falcon,Hex N4,Iceberg,4%
79,5,Green Falcon,Hex O3,Kraken,30%
79,5,Green Falcon,Hex O3,Storm,4%
79,5,Green Falcon,Hex P5,Harpies,4%
80,38,Rusty Swan,Hex I4,Harpies,0%
80,38,Rusty Swan,Hex I4,Dragon,10%
80,38,Rusty Swan,Hex F4,Sharks,7%
80,38,Rusty Swan,Hex E4,Reef,17%
80,38,Rusty Swan,Hex G4,Reef,4%
80,38,Rusty Swan,Hex H4,Reef,10%
82,51,Golden Goose,Hex O15,Sharks,0%
82,51,Golden Goose,Hex L13,Storm,15%
82,51,Golden Goose,Hex K13,Kraken,0%
83,87,Orange Bottom,Hex Q10,Pirates,15%
84,68,Mopey Heart,Hex Q13,Storm,10%
84,68,Mopey Heart,Hex Q12,Wyrd Majick Fyre,5%
85,18,Gray Swan,Hex G7,Kraken,14%
85,18,Gray Swan,Hex H5,Sharks,0%
85,18,Gray Swan,Hex I4,Iceberg,17%
87,23,Silver Duck,Hex K3,Reef,4%
87,23,Silver Duck,Hex J3,Iceberg,14%
89,42,Golden Swan,Hex N6,Sharks,10%
91,82,Green Tortoise,Hex P12,Reef,4%
93,36,White Falcon,Hex P12,Reef,10%
93,36,White Falcon,Hex P12,Storm,0%
94,59,Silver Falcon,Hex O15,Harpies,14%
97,83,Green Swan,Hex H13,Sharks,7%
97,83,Green Swan,Hex I15,Harpies,0%
98,78,Gray Duck,Hex I15,Reef,30%
99,60,Green Hind,Hex P9,Reef,4%
99,60,Green Hind,Hex O11,Storm,7%
99,60,Green Hind,Hex P12,Harpies,0%
100,21,Rusty Pearl,Hex M6,Kraken,15%
100,21,Rusty Pearl,Hex M6,Iceberg,25%
100,21,Rusty Pearl,Hex M6,Merfolk,0%
100,21,Rusty Pearl,Hex K8,Wyrd Majick Fyre,25%
100,21,Rusty Pearl,Hex J9,Reef,5%
100,21,Rusty Pearl,Hex I9,Wyrd Majick Fyre,20%
100,21,Rusty Pearl,Hex I10,Sharks,5%
101,54,White Pearl,Hex P6,Harpies,15%
101,54,White Pearl,Hex M4,Storm,20%
101,54,White Pearl,Hex K4,Harpies,5%
102,80,Orange Heart,Hex L5,Storm,7%
103,24,Mopey Hind,Hex N13,Harpies,7%
103,24,Mopey Hind,Hex N13,Reef,7%
103,24,Mopey Hind,Hex O14,Sharks,4%
103,24,Mopey Hind,Hex O15,Sharks,0%
104,90,Mopey Tortoise,Hex P13,Sharks,0%
104,90,Mopey Tortoise,Hex P9,Reef,20%
104,90,Mopey Tortoise,Hex Q8,Reef,4%
105,57,Rusty Hind,Hex M14,Storm,20%
105,57,Rusty Hind,Hex L14,Storm,10%
106,62,Red Goose,Hex G12,Pirates,0%
106,62,Red Goose,Hex G12,Sharks,4%
106,62,Red Goose,Hex F10,Pirates,0%
106,62,Red Goose,Hex E10,Harpies,7%
107,77,Bloody Goose,Hex O6,Pirates,45%
107,77,Bloody Goose,Hex N6,Harpies,5%
108,74,White Goose,Hex P6,Sharks,10%
108,74,White Goose,Hex O5,Pirates,50%
108,74,White Goose,Hex N4,Iceberg,20%
108,74,White Goose,Hex L4,Storm,0%
108,74,White Goose,Hex J4,Harpies,0%
109,43,Saucy Heart,Hex P13,Reef,15%
109,43,Saucy Heart,Hex Q14,Storm,10%
110,25,Saucy Goose,Hex Q13,Sharks,15%
110,25,Saucy Goose,Hex Q11,Sharks,0%
110,25,Saucy Goose,Hex Q9,Pirates,20%
110,25,Saucy Goose,Hex Q8,Sharks,10%
110,25,Saucy Goose,Hex Q7,Storm,20%
111,56,Green Heart,Hex P13,Reef,4%
111,56,Green Heart,Hex P13,Sharks,7%
113,67,Gray Pearl,Hex O14,Reef,4%
114,33,Rusty Goose,Hex H13,Harpies,4%
114,33,Rusty Goose,Hex J14,Sharks,0%
114,33,Rusty Goose,Hex J15,Harpies,0%
116,8,Silver Tortoise,Hex K15,Reef,25%
116,8,Silver Tortoise,Hex K15,Dragon,20%
116,8,Silver Tortoise,Hex L15,Reef,35%
116,8,Silver Tortoise,Hex L15,Sharks,10%
116,8,Silver Tortoise,Hex M15,Sharks,0%
116,8,Silver Tortoise,Hex O15,Harpies,5%
117,41,Scurvy Tortoise,Hex H10,Harpies,4%
117,41,Scurvy Tortoise,Hex H8,Harpies,0%
117,41,Scurvy Tortoise,Hex G7,Sharks,7%
117,41,Scurvy Tortoise,Hex H6,Kraken,14%
117,41,Scurvy Tortoise,Hex H5,Sharks,7%
118,47,Gray Heart,Hex Q8,Pirates,17%
118,47,Gray Heart,Hex Q8,Sharks,7%
118,47,Gray Heart,Hex Q13,Storm,0%
119,45,Golden Tortoise,Hex K5,Harpies,0%
119,45,Golden Tortoise,Hex M6,Storm,10%
119,45,Golden Tortoise,Hex M6,Storm,15%
119,45,Golden Tortoise,Hex O6,Sharks,10%
119,45,Golden Tortoise,Hex P6,Iceberg,15%
120,27,Black Heart,Hex O5,Sharks,10%
121,79,Scurvy Pearl,Hex P13,Storm,0%
121,79,Scurvy Pearl,Hex Q14,Pirates,50%
122,48,Scurvy Heart,Hex Q14,Storm,5%
123,49,Orange Hind,Hex J11,Storm,10%
123,49,Orange Hind,Hex K9,Pirates,65%
123,49,Orange Hind,Hex L9,Reef,10%
123,49,Orange Hind,Hex N8,Reef,5%
124,58,White Tortoise,Hex Q5,Sharks,5%
124,58,White Tortoise,Hex R4,Pirates,40%
124,58,White Tortoise,Hex R4,Storm,0%
128,71,Golden Duck,Hex J4,Pirates,47%
129,65,Orange Duck,Hex L6,Harpies,5%
129,65,Orange Duck,Hex L6,Kraken,10%
129,65,Orange Duck,Hex M6,Harpies,0%
129,65,Orange Duck,Hex L5,Pirates,0%
129,65,Orange Duck,Hex L5,Sharks,10%
129,65,Orange Duck,Hex K5,Storm,30%
129,65,Orange Duck,Hex K4,Storm,5%
130,68,Mopey Heart,Hex S15,Kraken,45%
131,83,Green Swan,Hex P13,Pirates,37%
131,83,Green Swan,Hex P13,Reef,4%
131,83,Green Swan,Hex P9,Dragon,0%
131,83,Green Swan,Hex P8,Pirates,14%
131,83,Green Swan,Hex P8,Sharks,4%
133,14,Green Diamond,Hex J13,Storm,0%
133,14,Green Diamond,Hex O15,Pirates,0%
135,53,Red Bottom,Hex P9,Reef,10%
136,30,Gray Goose,Hex M5,Pirates,30%
136,30,Gray Goose,Hex M5,Merfolk,25%
136,30,Gray Goose,Hex N6,Sharks,15%
137,7,Silver Heart,Hex N5,Kraken,7%
138,18,Gray Swan,Hex J3,Pirates,7%
138,18,Gray Swan,Hex K5,Sharks,0%
138,18,Gray Swan,Hex L5,Harpies,0%
138,18,Gray Swan,Hex L5,Merfolk,34%
138,18,Gray Swan,Hex M6,Merfolk,14%
138,18,Gray Swan,Hex M6,Sharks,4%
138,18,Gray Swan,Hex N6,Sharks,10%
139,66,Saucy Falcon,Hex K5,Sharks,5%
139,66,Saucy Falcon,Hex K5,Storm,10%
140,46,Bloody Diamond,Hex L7,Kraken,14%
140,46,Bloody Diamond,Hex O10,Reef,4%
140,46,Bloody Diamond,Hex O10,Sharks,10%
140,46,Bloody Diamond,Hex Q14,Storm,0%
141,36,White Falcon,Hex P13,Reef,25%
142,59,Silver Falcon,Hex Q14,Sharks,4%
142,59,Silver Falcon,Hex Q12,Storm,0%
143,94,Orange Swan,Hex F13,Pirates,47%
143,94,Orange Swan,Hex C13,Sharks,0%
143,94,Orange Swan,Hex C13,Reef,10%
143,94,Orange Swan,Hex E13,Sharks,0%
144,44,Purple Swan,Hex H10,Kraken,30%
144,44,Purple Swan,Hex I8,Reef,5%
144,44,Purple Swan,Hex I8,Sharks,5%
144,44,Purple Swan,Hex I6,Pirates,50%
144,44,Purple Swan,Hex H5,Storm,0%
144,44,Purple Swan,Hex I4,Harpies,0%
145,32,Bloody Falcon,Hex P4,Pirates,0%
145,32,Bloody Falcon,Hex O4,Kraken,14%
145,32,Bloody Falcon,Hex N4,Pirates,54%
146,54,White Pearl,Hex K1,Harpies,10%
148,15,Purple Falcon,Hex J5,Merfolk,50%
148,15,Purple Falcon,Hex M6,Storm,30%
149,17,White Heart,Hex J5,Sharks,7%
149,17,White Heart,Hex J6,Harpies,0%
149,17,White Heart,Hex I7,Wyrd Majick Fyre,14%
149,17,White Heart,Hex I8,Reef,24%
149,17,White Heart,Hex I9,Sharks,0%
149,17,White Heart,Hex I10,Storm,7%
149,17,White Heart,Hex H12,Sharks,4%
150,57,Rusty Hind,Hex Q10,Storm,5%
150,57,Rusty Hind,Hex P9,Reef,10%
150,57,Rusty Hind,Hex Q8,Reef,5%
150,57,Rusty Hind,Hex P7,Harpies,0%
151,78,Gray Duck,Hex H12,Harpies,10%
151,78,Gray Duck,Hex H10,Kraken,0%
151,78,Gray Duck,Hex G9,Kraken,40%
151,78,Gray Duck,Hex H8,Sharks,5%
151,78,Gray Duck,Hex H6,Kraken,10%
151,78,Gray Duck,Hex I4,Storm,30%
152,10,Purple Heart,Hex H10,Kraken,20%
152,10,Purple Heart,Hex I6,Sharks,5%
152,10,Purple Heart,Hex I6,Storm,30%
153,51,Golden Goose,Hex G10,Kraken,10%
153,51,Golden Goose,Hex F8,Kraken,10%
153,51,Golden Goose,Hex F10,Harpies,0%
155,63,Red Duck,Hex Q2,Reef,30%
155,63,Red Duck,Hex Q4,Pirates,0%
156,23,Silver Duck,Hex J5,Pirates,10%
156,23,Silver Duck,Hex I7,Reef,14%
156,23,Silver Duck,Hex I8,Reef,7%
158,80,Orange Heart,Hex K4,Iceberg,14%
158,80,Orange Heart,Hex K4,Merfolk,14%
158,80,Orange Heart,Hex K4,Sharks,0%
158,80,Orange Heart,Hex L4,Iceberg,7%
159,56,Green Heart,Hex O14,Sharks,10%
159,56,Green Heart,Hex N12,Pirates,7%
159,56,Green Heart,Hex O14,Sharks,4%
160,43,Saucy Heart,Hex P13,Reef,30%
160,43,Saucy Heart,Hex P12,Reef,10%
160,43,Saucy Heart,Hex O10,Harpies,0%
160,43,Saucy Heart,Hex O11,Storm,25%
162,67,Gray Pearl,Hex N15,Storm,14%
162,67,Gray Pearl,Hex K13,Pirates,0%
162,67,Gray Pearl,Hex J13,Kraken,40%
162,67,Gray Pearl,Hex J13,Sharks,4%
162,67,Gray Pearl,Hex J13,Storm,4%
163,62,Red Goose,Hex D10,Reef,4%
163,62,Red Goose,Hex F10,Pirates,30%
163,62,Red Goose,Hex F10,Kraken,4%
163,62,Red Goose,Hex G12,Storm,0%
164,45,Golden Tortoise,Hex R4,Iceberg,10%
165,5,Green Falcon,Hex P9,Reef,27%
166,40,Red Swan,Hex P6,Sharks,10%
166,40,Red Swan,Hex N5,Sharks,0%
166,40,Red Swan,Hex N5,Storm,15%
168,60,Green Hind,Hex Q13,Pirates,10%
168,60,Green Hind,Hex P12,Pirates,7%
168,60,Green Hind,Hex P12,Harpies,0%
168,60,Green Hind,Hex P13,Reef,40%
169,97,Bloody Swan,Hex R12,Kraken,30%
169,97,Bloody Swan,Hex R12,Sharks,4%
169,97,Bloody Swan,Hex Q7,Storm,17%
170,52,Saucy Pearl,Hex J14,Pirates,50%
172,25,Saucy Goose,Hex P6,Iceberg,30%
173,90,Mopey Tortoise,Hex J3,Storm,17%
174,27,Black Heart,Hex O4,Harpies,5%
174,27,Black Heart,Hex O4,Kraken,30%
174,27,Black Heart,Hex J3,Harpies,10%
175,3,Black Tortoise,Hex J4,Storm,24%
175,3,Black Tortoise,Hex I5,Sharks,0%
175,3,Black Tortoise,Hex I7,Reef,30%
175,3,Black Tortoise,Hex I7,Wyrd Majick Fyre,34%
176,42,Golden Swan,Hex H0,Iceberg,30%
178,74,White Goose,Hex J4,Iceberg,14%
178,74,White Goose,Hex J6,Storm,10%
178,74,White Goose,Hex I7,Reef,7%
178,74,White Goose,Hex H11,Storm,7%
179,33,Rusty Goose,Hex O15,Pirates,0%
179,33,Rusty Goose,Hex N15,Sharks,4%
179,33,Rusty Goose,Hex N15,Dragon,27%
181,48,Scurvy Heart,Hex Q14,Storm,20%
182,84,Silver Swan,Hex H13,Storm,4%
182,84,Silver Swan,Hex K14,Sharks,4%
182,84,Silver Swan,Hex L14,Harpies,0%
182,84,Silver Swan,Hex L14,Sharks,0%
183,21,Rusty Pearl,Hex I9,Wyrd Majick Fyre,60%
184,70,Red Hind,Hex F15,Pirates,20%
186,83,Green Swan,Hex O7,Reef,17%
186,83,Green Swan,Hex N7,Reef,14%
186,83,Green Swan,Hex N8,Reef,14%
186,83,Green Swan,Hex O7,Harpies,0%
186,83,Green Swan,Hex O7,Storm,37%
187,71,Golden Duck,Hex Q4,Iceberg,4%
187,71,Golden Duck,Hex P2,Harpies,0%
187,71,Golden Duck,Hex Q4,Sharks,0%
187,71,Golden Duck,Hex Q4,Storm,7%
189,28,Black Falcon,Hex I4,Sharks,5%
189,28,Black Falcon,Hex J7,Reef,25%
189,28,Black Falcon,Hex M11,Reef,10%
189,28,Black Falcon,Hex N13,Storm,20%
189,28,Black Falcon,Hex O14,Storm,10%
190,35,Green Goose,Hex J4,Sharks,4%
190,35,Green Goose,Hex K4,Harpies,0%
190,35,Green Goose,Hex L6,Sharks,7%
190,35,Green Goose,Hex M6,Storm,10%
190,35,Green Goose,Hex O6,Storm,0%
191,66,Saucy Falcon,Hex I4,Iceberg,25%
192,89,Red Heart,Hex I2,Storm,60%
192,89,Red Heart,Hex G1,Harpies,10%
192,89,Red Heart,Hex H1,Iceberg,15%
193,14,Green Diamond,Hex R11,Pirates,17%
193,14,Green Diamond,Hex Q9,Storm,17%
193,14,Green Diamond,Hex Q8,Reef,17%
195,95,Saucy Tortoise,Hex I11,Sharks,0%
195,95,Saucy Tortoise,Hex I11,Storm,0%
195,95,Saucy Tortoise,Hex J10,Sharks,4%
196,17,White Heart,Hex H13,Dragon,0%
196,17,White Heart,Hex J13,Pirates,30%
196,17,White Heart,Hex K12,Pirates,24%
196,17,White Heart,Hex L9,Reef,27%
196,17,White Heart,Hex M7,Harpies,0%
196,17,White Heart,Hex O6,Sharks,0%
196,17,White Heart,Hex P6,Pirates,0%
196,17,White Heart,Hex P6,Storm,0%
198,86,White Swan,Hex Q8,Reef,50%
198,86,White Swan,Hex P9,Storm,5%
199,76,Purple Diamond,Hex Q5,Sharks,4%
199,76,Purple Diamond,Hex S7,Sharks,0%
199,76,Purple Diamond,Hex S6,Reef,4%
199,76,Purple Diamond,Hex R5,Reef,10%
200,38,Rusty Swan,Hex G5,Pirates,0%
200,38,Rusty Swan,Hex G5,Iceberg,10%
200,38,Rusty Swan,Hex G5,Sharks,0%
200,38,Rusty Swan,Hex F5,Merfolk,0%
200,38,Rusty Swan,Hex F6,Merfolk,20%
200,38,Rusty Swan,Hex F5,Merfolk,4%
200,38,Rusty Swan,Hex G5,Merfolk,34%
200,38,Rusty Swan,Hex G5,Storm,20%
201,92,Black Hind,Hex K2,Iceberg,15%
201,92,Black Hind,Hex K1,Pirates,0%
202,24,Mopey Hind,Hex Q14,Harpies,0%
202,24,Mopey Hind,Hex R12,Kraken,0%
202,24,Mopey Hind,Hex Q11,Kraken,34%
203,82,Green Tortoise,Hex M12,Storm,0%
203,82,Green Tortoise,Hex L11,Reef,30%
203,82,Green Tortoise,Hex L11,Wyrd Majick Fyre,0%
204,51,Golden Goose,Hex I11,Kraken,30%
204,51,Golden Goose,Hex J10,Storm,15%
204,51,Golden Goose,Hex I11,Kraken,5%
204,51,Golden Goose,Hex H12,Storm,20%
207,77,Bloody Goose,Hex O3,Kraken,20%
209,41,Scurvy Tortoise,Hex J4,Pirates,0%
209,41,Scurvy Tortoise,Hex J6,Pirates,0%
209,41,Scurvy Tortoise,Hex I8,Pirates,20%
209,41,Scurvy Tortoise,Hex I9,Reef,7%
209,41,Scurvy Tortoise,Hex I9,Dragon,10%
209,41,Scurvy Tortoise,Hex H11,Dragon,10%
210,65,Orange Duck,Hex J4,Sharks,0%
210,65,Orange Duck,Hex N6,Storm,20%
210,65,Orange Duck,Hex P6,Sharks,0%
211,54,White Pearl,Hex G2,Reef,70%
211,54,White Pearl,Hex H2,Reef,15%
211,54,White Pearl,Hex I2,Sharks,0%
212,8,Silver Tortoise,Hex P12,Reef,10%
212,8,Silver Tortoise,Hex Q10,Pirates,20%
213,43,Saucy Heart,Hex O15,Sharks,0%
213,43,Saucy Heart,Hex N14,Pirates,20%
213,43,Saucy Heart,Hex K14,Storm,25%
213,43,Saucy Heart,Hex I13,Sharks,5%
214,98,Bloody Tortoise,Hex M8,Pirates,20%
214,98,Bloody Tortoise,Hex N8,Reef,25%
214,98,Bloody Tortoise,Hex N8,Storm,15%
216,1,Purple Pearl,Hex P4,Harpies,0%
216,1,Purple Pearl,Hex M4,Sharks,10%
216,1,Purple Pearl,Hex L4,Storm,7%
216,1,Purple Pearl,Hex K4,Storm,4%
218,60,Green Hind,Hex Q14,Harpies,4%
218,60,Green Hind,Hex Q14,Sharks,0%
218,60,Green Hind,Hex Q12,Harpies,7%
218,60,Green Hind,Hex Q12,Storm,20%
218,60,Green Hind,Hex Q13,Harpies,0%
218,60,Green Hind,Hex Q13,Sharks,4%
219,56,Green Heart,Hex Q12,Harpies,0%
219,56,Green Heart,Hex Q11,Kraken,34%
220,47,Gray Heart,Hex P13,Pirates,0%
220,47,Gray Heart,Hex P13,Sharks,4%
220,47,Gray Heart,Hex P11,Pirates,0%
220,47,Gray Heart,Hex P10,Reef,7%
220,47,Gray Heart,Hex Q8,Sharks,4%
220,47,Gray Heart,Hex Q7,Pirates,17%
222,5,Green Falcon,Hex P10,Storm,10%
222,5,Green Falcon,Hex Q8,Storm,0%
223,40,Red Swan,Hex Q7,Harpies,5%
223,40,Red Swan,Hex Q8,Harpies,5%
224,45,Golden Tortoise,Hex N5,Sharks,5%
224,45,Golden Tortoise,Hex L4,Sharks,0%
224,45,Golden Tortoise,Hex K4,Pirates,0%
225,25,Saucy Goose,Hex P8,Storm,15%
225,25,Saucy Goose,Hex O11,Storm,15%
226,90,Mopey Tortoise,Hex J4,Harpies,7%
227,42,Golden Swan,Hex J0,Storm,25%
227,42,Golden Swan,Hex J2,Iceberg,30%
228,27,Black Heart,Hex J4,Harpies,5%
228,27,Black Heart,Hex M6,Kraken,10%
230,102,Gray Falcon,Hex O15,Storm,0%
