Voyage ID,Origin Port,Date,Planned Route,Ship ID,Ship Name,Ship Type,Captain Name,Weeks Since Last Voyage,Voyage Destination,Voyage Purpose,Damage Taken
11,Hex I3,January 1407 Week 3,I3-I4-I5-J6-I7-I8-H9-H10-G11-H12-G13,63,Saucy Pearl,Barquentine,Sean Buchanan,10000,Hex G13,Cargo: Darkwood,90%
12,Hex P15,January 1407 Week 4,P15-O15-N15-N14-M13-L13-K13-J13-I13-H13-G13,67,Saucy Heart,Carrack,Jack O'Neal,10001,Hex G13,Cargo: Darkwood,40%
13,Hex P15,January 1407 Week 4,P15-Q14-Q13-Q12-Q11-Q10-P11-P12-P13-Q14-P15,13,Golden Duck,Barquentine,Patrick O'Brien,10001,Hex Q10,Scouting,40%
14,Hex G13,January 1407 Week 4,G13-H13-I12-I11-J10-J9-K8-L8-M8-N8-N7-O7-P7-Q6,74,Green Goose,Galleon,Neil Flyn,10001,Hex Q6,Cargo: Redstone,44%
15,Hex G13,January 1407 Week 4,G13-G12-G11-H10-G11-H12-G13,47,Rusty Bottom,Dhow,Dyllon Reagan,10001,Hex H10,Fishing,15%
16,Hex G13,January 1407 Week 4,G13-F13-F14-E15-E16-E15-F15-G14-G13,77,White Duck,Carrack,Seamus Darry,10001,Hex E16,Fishing,40%
17,Hex Q6,January 1407 Week 4,Q6-P7-Q8-P9-Q10-Q9-Q8-Q7-Q6,41,Rusty Diamond,Galleon,Angus Keating,10001,Hex Q10,Scouting,77%
18,Hex Q6,January 1407 Week 4,Q6-Q7-Q8-P9-Q10-Q11-Q12-P13-Q14-P15,40,Purple Swan,Barquentine,Lord Wolfgang von Glucksberg,10001,Hex P15,Cargo: Magefruit,Destroyed
19,Hex Q6,January 1407 Week 4,Q6-Q7-Q8-P9-Q10-Q11-Q12-P13-Q14-P15,44,Scurvy Duck,Dhow,Kelly MacArthur,10001,Hex P15,Cargo: Magefruit,45%
20,Hex Q6,January 1407 Week 4,Q6-P7-P8-P9-P10-P11-P12-P13-Q14-P15,24,Red Goose,Carrack,Lord Gottfried von Kaulbach,10001,Hex P15,Cargo: Magefruit,47%
21,Hex I3,January 1407 Week 4,I3-I4-H5-I6-H7-H8-G9-G10-F11-G12-G13,33,Scurvy Bottom,Galleon,Baron Karl von Reinhardt,10001,Hex G13,Cargo: Mythril,0%
22,Hex P15,January 1407 Week 1,P15-Q14-Q13-Q12-Q13-Q14-P15,65,Black Pearl,Dhow,Sean O'Neal,10002,Hex Q12,Fishing,0%
23,Hex P15,January 1407 Week 1,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,38,Golden Falcon,Carrack,Sean Hogan,10002,Hex G13,Cargo: Darkwood,20%
24,Hex P15,January 1407 Week 1,P15-Q14-Q13-R12-R11-S10-R11-R12-Q13-Q14-P15,9,Gray Pearl,Carrack,Sean MacDougal,10002,Hex S10,Scouting,4%
25,Hex P15,January 1407 Week 1,P15-O15-O14-N14-M13-L13-K13-J13-I13-H13-G13,15,Gray Duck,Barquentine,Brandon Keating,10002,Hex G13,Cargo: Blackwine,Destroyed
26,Hex G13,January 1407 Week 1,G13-H13-I13-J13-K14-K15-K14-J14-I13-H13-G13,58,Green Duck,Galleon,Bryan Buchanan,10002,Hex K15,Scouting,50%
27,Hex G13,January 1407 Week 1,G13-G12-F11-F10-E9-E8-E9-F10-F11-G12-G13,23,Orange Pearl,Carrack,Kelly Hogan,10002,Hex E8,Fishing,57%
28,Hex G13,January 1407 Week 1,G13-G12-F12-E12-D12-D13-E13-F13-G13,75,Mopey Swan,Barquentine,Lord Karl von Chlodwig,10002,Hex D12,Fishing,0%
29,Hex Q6,January 1407 Week 1,Q6-P7-P8-P9-P10-O11-P12-P13-Q14-P15,46,Silver Bottom,Barquentine,Neil Keating,10002,Hex P15,Cargo: Magefruit,55%
30,Hex Q6,January 1407 Week 1,Q6-P6-O6-N5-M5-N6-O6-P6-Q6,39,Bloody Falcon,Dhow,Baron Dietrich von Chlodwig,10002,Hex M5,Fishing,15%
31,Hex Q6,January 1407 Week 1,Q6-P7-O7-N7-M7-M8-N8-N7-O6-P6-Q6,35,Orange Duck,Galleon,Count Rudolf von Alfeldt,10002,Hex M8,Fishing,47%
32,Hex I3,January 1407 Week 1,I3-J4-J5-J6-I7-I8-H9-I10-H11-H12-G13,76,Gray Diamond,Carrack,Neil Malone,10002,Hex G13,Cargo: Darkwood,7%
33,Hex P15,February 1407 Week 2,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,11,White Hind,Galleon,Sir Ulbrecht von Bismarck,10003,Hex G13,Cargo: Darkwood,34%
34,Hex P15,February 1407 Week 2,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,34,Gray Bottom,Barquentine,Fergus Sweeney,10003,Hex G13,Cargo: Blackwine,5%
35,Hex P15,February 1407 Week 2,P15-Q14-Q13-Q12-Q11-R10-Q9-Q8-Q7-Q6,66,Scurvy Tortoise,Galleon,Neil Blake,10003,Hex Q6,Cargo: Blackwine,37%
36,Hex G13,February 1407 Week 2,G13-H12-H11-I10-I9-I8-H7-I6-I5-I4-I3,32,Mopey Bottom,Carrack,Brandon O'Connell,10003,Hex I3,Cargo: Redstone,0%
37,Hex G13,February 1407 Week 2,G13-H13-I13-J13-K13-L14-M14-M15-N15-O15-P15,83,Orange Falcon,Galleon,Ryan MacArthur,9999,Hex P15,Cargo: Magefruit,64%
38,Hex G13,February 1407 Week 2,G13-F13-E13-D13-C13-D13-E13-F13-G13,30,Purple Bottom,Dhow,Conall Keating,10003,Hex C13,Fishing,Destroyed
39,Hex G13,February 1407 Week 2,G13-H13-I13-J12-J11-K10-J11-I11-I12-H12-G13,8,Black Bottom,Carrack,Ryan O'Brien,10003,Hex K10,Scouting,20%
40,Hex Q6,February 1407 Week 2,Q6-Q5-R4-R3-S2-S1-S2-R3-R4-Q5-Q6,2,Green Pearl,Galleon,Liam MacDougal,10003,Hex S1,Scouting,17%
41,Hex I3,February 1407 Week 2,I3-I2-H2-G2-H2-I2-I3,3,Black Hind,Dhow,Erin Teague,10003,Hex G2,Fishing,40%
42,Hex P15,February 1407 Week 3,P15-O15-N15-N14-M13-L13-K13-J13-I13-H13-G13,49,Red Bottom,Carrack,Liam O'Connell,5,Hex G13,Cargo: Darkwood,14%
43,Hex P15,February 1407 Week 3,P15-Q14-Q13-R12-Q13-Q14-P15,71,Golden Bottom,Dhow,Count Friedrich von Bismarck,10004,Hex R12,Fishing,0%
44,Hex P15,February 1407 Week 3,P15-O15-O14-N13-N12-N13-O14-O15-P15,37,Mopey Hind,Carrack,Brandon Cullen,10004,Hex N12,Scouting,14%
45,Hex P15,February 1407 Week 3,P15-Q14-Q13-R13-S13-S14-R14-Q15-P15,14,Scurvy Hind,Dhow,Angus O'Connell,10004,Hex S13,Scouting,15%
46,Hex G13,February 1407 Week 3,G13-F13-F12-E12-D12-C11-D11-E12-E13-F13-G13,63,Saucy Pearl,Barquentine,Sean Buchanan,4,Hex C11,Fishing,70%
47,Hex G13,February 1407 Week 3,G13-H13-I13-J13-K12-K11-L10-L9-M9-N8-N7-O7-P6-Q6,12,White Bottom,Barquentine,Seamus Keating,5,Hex Q6,Cargo: Redstone,Destroyed
48,Hex Q6,February 1407 Week 3,Q6-P6-O7-N7-M7-L7-K7-K8-J9-I9-I10-H11-H12-G13,54,Red Heart,Barquentine,Conor Hogan,10004,Hex G13,Cargo: Scrolls,40%
49,Hex Q6,February 1407 Week 3,Q6-P6-O6-N5-M5-M4-L4-K4-J4-I3,1,Rusty Swan,Barquentine,Seamus Malone,10004,Hex I3,Cargo: Magefruit,15%
50,Hex Q6,February 1407 Week 3,Q6-Q5-R5-S5-R5-Q5-Q6,81,Rusty Hind,Dhow,Conall Keating,10002,Hex S5,Fishing,0%
51,Hex Q6,February 1407 Week 3,Q6-P5-P4-O4-N3-M3-N3-O4-P4-P5-Q6,51,Red Diamond,Galleon,Kelly Bracken,10004,Hex M3,Fishing,44%
52,Hex I3,February 1407 Week 3,I3-I4-H5-H6-G7-H8-H9-I10-H11-H12-G13,68,Golden Swan,Carrack,Baron Ulbrecht von Lundorf,10004,Hex G13,Cargo: Mythril,20%
53,Hex I3,February 1407 Week 3,I3-I4-I5-J6-I7-I8-I9-I10-H11-H12-G13,5,White Swan,Barquentine,Patrick Flyn,5,Hex G13,Cargo: Darkwood,25%
54,Hex I3,February 1407 Week 3,I3-J4-J5-K6-L6-K6-J5-J4-I3,16,Gray Falcon,Dhow,Liam Teague,10004,Hex L6,Scouting,60%
55,Hex P15,February 1407 Week 4,P15-O15-N15-N14-N15-O15-P15,44,Scurvy Duck,Dhow,Kelly MacArthur,4,Hex N14,Fishing,5%
56,Hex P15,February 1407 Week 4,P15-Q14-P13-P12-O11-P10-P9-Q8-Q7-Q6,59,Orange Bottom,Barquentine,Conor Darry,10005,Hex Q6,Cargo: Darkwood,0%
57,Hex P15,February 1407 Week 4,P15-P16-O16-N16-O16-O15-P15,28,Rusty Duck,Dhow,Erin Teague,10005,Hex N16,Fishing,25%
58,Hex P15,February 1407 Week 4,P15-Q15-R15-S14-R14-Q14-P15,17,White Pearl,Dhow,Sir Manfred von Zelig,10005,Hex S14,Fishing,50%
59,Hex G13,February 1407 Week 4,G13-F13-F14-E15-E16-F16-F15-G14-G13,50,Mopey Heart,Dhow,Killian O'Brien,10005,Hex E16,Fishing,25%
60,Hex G13,February 1407 Week 4,G13-H12-H11-H10-G9-H8-G7-H6-H5-I4-I3,62,Orange Diamond,Barquentine,Count Friedrich von Alfeldt,10005,Hex I3,Cargo: Magefruit,45%
61,Hex Q6,February 1407 Week 4,Q6-Q7-Q8-Q9-R10-Q11-Q12-P13-Q14-P15,7,Mopey Diamond,Carrack,Conall Flyn,10005,Hex P15,Cargo: Scrolls,64%
62,Hex Q6,February 1407 Week 4,Q6-Q7-Q8-Q9-Q10-P11-P12-P13-Q14-P15,20,Golden Hind,Dhow,Conor Hogan,6,Hex P15,Cargo: Scrolls,75%
63,Hex Q6,February 1407 Week 4,Q6-P5-Q4-Q3-R4-Q5-Q6,41,Rusty Diamond,Galleon,Angus Keating,4,Hex Q3,Fishing,40%
64,Hex I3,February 1407 Week 4,I3-J4-K4-L4-M4-M3-M4-L4-K4-J3-I3,6,Black Diamond,Galleon,Baron Friedrich von Zelig,10005,Hex M3,Fishing,17%
65,Hex P15,February 1407 Week 1,P15-Q14-Q13-R12-R11-R10-R11-R12-Q13-Q14-P15,72,Green Tortoise,Carrack,Count Wilhelm von Reinhardt,10006,Hex R10,Fishing,37%
66,Hex P15,February 1407 Week 1,P15-O15-N15-M15-L15-K15-L15-M15-N15-O15-P15,46,Silver Bottom,Barquentine,Neil Keating,4,Hex K15,Fishing,30%
67,Hex P15,February 1407 Week 1,P15-O15-O14-N13-O12-N11-N10-M9-M8-L8-K7-K6-J5-J4-I3,24,Red Goose,Carrack,Lord Gottfried von Kaulbach,5,Hex I3,Cargo: Blackwine,Destroyed
68,Hex G13,February 1407 Week 1,G13-F13-E13-D13-E13-F13-G13,47,Rusty Bottom,Dhow,Dyllon Reagan,5,Hex D13,Fishing,75%
69,Hex G13,February 1407 Week 1,G13-H13-I12-J12-I12-H12-G13,79,Rusty Pearl,Dhow,Count Alberich von Schneider,10006,Hex J12,Fishing,0%
70,Hex G13,February 1407 Week 1,G13-F13-F14-E15-F15-G14-G13,36,Black Falcon,Dhow,Lord Alberich von Grolman,10006,Hex E15,Fishing,35%
71,Hex Q6,February 1407 Week 1,Q6-P7-O7-N7-N8-M9-L9-L10-K11-K12-J12-I13-H13-G13,74,Green Goose,Galleon,Neil Flyn,5,Hex G13,Cargo: Scrolls,Destroyed
72,Hex Q6,February 1407 Week 1,Q6-Q5-R4-Q3-R2-R1-S2-R3-R4-Q5-Q6,61,White Tortoise,Carrack,Patrick Cullen,10006,Hex R1,Fishing,47%
73,Hex I3,February 1407 Week 1,I3-I4-H4-G4-H4-I4-I3,57,Bloody Heart,Dhow,Fergus O'Neal,10006,Hex G4,Fishing,0%
74,Hex P15,March 1407 Week 2,P15-Q15-R15-S14-S13-S14-R15-Q15-P15,56,Silver Heart,Barquentine,Sir Wolfgang von Alfeldt,10007,Hex S13,Fishing,0%
75,Hex G13,March 1407 Week 2,G13-H13-I14-J14-I13-H13-G13,19,Golden Heart,Dhow,Conall O'Neal,10007,Hex J14,Fishing,Destroyed
76,Hex Q6,March 1407 Week 2,Q6-P7-Q8-P9-P10-P11-Q12-P13-Q14-P15,48,Purple Falcon,Galleon,Jack Flyn,10007,Hex P15,Cargo: Magefruit,70%
77,Hex I3,March 1407 Week 2,I3-J4-J5-K5-L5-M6-M7-N8-N9-O10-O11-P12-P13-Q14-P15,64,Silver Diamond,Barquentine,Fergus Buchanan,10007,Hex P15,Cargo: Mythril,75%
78,Hex P15,March 1407 Week 3,P15-O15-O14-N14-M13-L13-M14-N14-O14-O15-P15,37,Mopey Hind,Carrack,Brandon Cullen,4,Hex L13,Fishing,0%
79,Hex P15,March 1407 Week 3,P15-O15-O14-N13-N12-N13-O14-O15-P15,80,Silver Falcon,Barquentine,Seamus O'Malley,10008,Hex N12,Fishing,45%
80,Hex P15,March 1407 Week 3,P15-O15-O14-N13-N12-N13-O14-O15-P15,65,Black Pearl,Dhow,Sean O'Neal,6,Hex N12,Scouting,65%
81,Hex P15,March 1407 Week 3,P15-Q14-Q13-Q12-Q11-Q10-P9-Q8-P7-Q6,14,Scurvy Hind,Dhow,Angus O'Connell,4,Hex Q6,Cargo: Blackwine,60%
82,Hex G13,March 1407 Week 3,G13-G12-F11-F10-F11-G12-G13,87,Green Swan,Dhow,Conor Darry,10000,Hex F10,Fishing,30%
83,Hex G13,March 1407 Week 3,G13-H12-H11-H10-H9-H8-G7-H6-H5-I4-I3,11,White Hind,Galleon,Sir Ulbrecht von Bismarck,5,Hex I3,Cargo: Magefruit,17%
84,Hex G13,March 1407 Week 3,G13-G12-F11-F10-F9-G8-G7-H6-H5-I4-I3,34,Gray Bottom,Barquentine,Fergus Sweeney,5,Hex I3,Cargo: Magefruit,80%
85,Hex G13,March 1407 Week 3,G13-H13-I13-J14-J15-K15-L15-M15-N15-O15-P15,75,Mopey Swan,Barquentine,Lord Karl von Chlodwig,6,Hex P15,Cargo: Magefruit,0%
86,Hex Q6,March 1407 Week 3,Q6-P7-Q8-P9-P10-O11-P12-P13-Q14-P15,66,Scurvy Tortoise,Galleon,Neil Blake,5,Hex P15,Cargo: Scrolls,Destroyed
87,Hex Q6,March 1407 Week 3,Q6-P7-O7-N7-N8-M9-L9-L10-K10-J10-I11-H11-H12-G13,52,Mopey Pearl,Carrack,Angus O'Neal,10008,Hex G13,Cargo: Scrolls,37%
88,Hex Q6,March 1407 Week 3,Q6-Q7-Q8-P9-P10-O11-P12-P13-Q14-P15,2,Green Pearl,Galleon,Liam MacDougal,5,Hex P15,Cargo: Scrolls,57%
89,Hex Q6,March 1407 Week 3,Q6-P5-O5-N5-N4-M4-L4-K3-J3-I3,35,Orange Duck,Galleon,Count Rudolf von Alfeldt,6,Hex I3,Cargo: Magefruit,60%
90,Hex I3,March 1407 Week 3,I3-J4-J5-K6-J5-J4-I3,43,Bloody Tortoise,Dhow,Dyllon Darry,10008,Hex K6,Fishing,Destroyed
91,Hex P15,March 1407 Week 4,P15-Q15-R14-R13-R14-Q15-P15,17,White Pearl,Dhow,Sir Manfred von Zelig,4,Hex R13,Fishing,25%
92,Hex P15,March 1407 Week 4,P15-Q14-P13-Q12-Q11-R10-Q9-Q8-Q7-Q6,73,Saucy Tortoise,Carrack,Killian Aubrey,10009,Hex Q6,Cargo: Blackwine,0%
93,Hex P15,March 1407 Week 4,P15-Q14-P13-P12-P11-Q10-P9-P8-P7-Q6,89,Green Bottom,Barquentine,Jack Buchanan,9999,Hex Q6,Transfer,30%
94,Hex G13,March 1407 Week 4,G13-F13-E13-D13-C13-C14-C13-D13-E13-F13-G13,54,Red Heart,Barquentine,Conor Hogan,5,Hex C14,Scouting,0%
95,Hex G13,March 1407 Week 4,G13-H12-H11-I10-J10-K10-K9-L8-M8-N8-N7-O6-P6-Q6,90,Scurvy Falcon,Barquentine,Sean Cullen,9999,Hex Q6,Transfer,30%
96,Hex Q6,March 1407 Week 4,Q6-P7-O7-N7-M7-M8-L9-K9-J9-J10-I11-H11-H12-G13,25,White Heart,Galleon,Fergus Reagan,10,Hex G13,Cargo: Scrolls,Destroyed
97,Hex Q6,March 1407 Week 4,Q6-P6-O7-N7-M7-L7-K7-K8-J9-I9-I10-H11-H12-G13,21,Mopey Tortoise,Barquentine,Neil Aubrey,10009,Hex G13,Cargo: Scrolls,80%
98,Hex I3,March 1407 Week 4,I3-I4-H5-H6-G7-H6-H5-I4-I3,82,Scurvy Swan,Dhow,Count Heinrich von Lundorf,10006,Hex G7,Scouting,65%
99,Hex I3,March 1407 Week 4,I3-J3-K4-L4-M4-N4-N5-O6-P6-Q6,16,Gray Falcon,Dhow,Liam Teague,5,Hex Q6,Transfer,35%
100,Hex P15,March 1407 Week 1,P15-O15-O14-N14-M13-L13-K13-J13-I13-H13-G13,83,Orange Falcon,Galleon,Ryan MacArthur,7,Hex G13,Cargo: Blackwine,27%
101,Hex P15,March 1407 Week 1,P15-O15-N15-N14-M14-L13-K13-J13-I13-H13-G13,13,Golden Duck,Barquentine,Patrick O'Brien,9,Hex G13,Cargo: Darkwood,35%
102,Hex G13,March 1407 Week 1,G13-H13-I13-J13-K12-K11-L10-L9-M9-N8-N7-O6-P6-Q6,23,Orange Pearl,Carrack,Kelly Hogan,8,Hex Q6,Cargo: Redstone,7%
103,Hex Q6,March 1407 Week 1,Q6-Q5-R4-R3-R4-Q5-Q6,81,Rusty Hind,Dhow,Conall Keating,6,Hex R3,Fishing,0%
104,Hex Q6,March 1407 Week 1,Q6-P7-P8-P9-P10-O11-P10-P9-Q8-Q7-Q6,61,White Tortoise,Carrack,Patrick Cullen,4,Hex O11,Fishing,94%
105,Hex Q6,March 1407 Week 1,Q6-P7-Q8-Q9-Q10-P11-Q12-Q13-Q14-P15,39,Bloody Falcon,Dhow,Baron Dietrich von Chlodwig,8,Hex P15,Cargo: Magefruit,15%
106,Hex Q6,March 1407 Week 1,Q6-P5-O5-O4-P4-P5-Q6,41,Rusty Diamond,Galleon,Angus Keating,5,Hex O4,Fishing,50%
107,Hex I3,March 1407 Week 1,I3-I2-H2-G2-F2-E2-F2-G2-H2-I2-I3,88,Rusty Tortoise,Carrack,Neil O'Brien,10001,Hex E2,Scouting,14%
108,Hex I3,March 1407 Week 1,I3-J3-K4-K5-L5-M6-N6-O6-P6-Q6,57,Bloody Heart,Dhow,Fergus O'Neal,4,Hex Q6,Cargo: Mythril,0%
109,Hex P15,April 1407 Week 2,P15-Q14-P13-Q12-Q11-R10-Q9-Q8-P7-Q6,9,Gray Pearl,Carrack,Sean MacDougal,9,Hex Q6,Cargo: Blackwine,Destroyed
110,Hex P15,April 1407 Week 2,P15-Q14-Q13-R13-S13-R13-R14-Q15-P15,28,Rusty Duck,Dhow,Erin Teague,6,Hex S13,Fishing,Destroyed
111,Hex P15,April 1407 Week 2,P15-O15-N15-N14-M13-M12-N12-N13-O14-O15-P15,46,Silver Bottom,Barquentine,Neil Keating,5,Hex M12,Scouting,5%
112,Hex G13,April 1407 Week 2,G13-F13-F14-E14-E13-F13-G13,36,Black Falcon,Dhow,Lord Alberich von Grolman,5,Hex E14,Fishing,0%
113,Hex G13,April 1407 Week 2,G13-F13-E13-E12-D11-E11-F12-G12-G13,67,Saucy Heart,Carrack,Jack O'Neal,10,Hex D11,Fishing,34%
114,Hex Q6,April 1407 Week 2,Q6-P5-P4-O4-N4-M4-L4-K4-J4-I3,91,Mopey Falcon,Carrack,Sir Konrad von Schonbern,10000,Hex I3,Cargo: Magefruit,27%
115,Hex Q6,April 1407 Week 2,Q6-P6-O5-O4-N4-M4-L4-K3-J3-I3,51,Red Diamond,Galleon,Kelly Bracken,7,Hex I3,Cargo: Magefruit,54%
116,Hex Q6,April 1407 Week 2,Q6-P7-P8-P9-Q10-P11-Q12-P13-Q14-P15,59,Orange Bottom,Barquentine,Conor Darry,6,Hex P15,Cargo: Magefruit,70%
117,Hex I3,April 1407 Week 2,I3-J4-K4-K5-L5-M5-N5-O6-P6-Q6,32,Mopey Bottom,Carrack,Brandon O'Connell,8,Hex Q6,Cargo: Darkwood,10%
118,Hex I3,April 1407 Week 2,I3-J4-J5-K6-J7-J6-J5-J4-I3,70,Mopey Goose,Carrack,Dyllon O'Malley,10011,Hex J7,Scouting,27%
119,Hex I3,April 1407 Week 2,I3-I2-H2-G1-F1-E1-F1-G1-H2-I2-I3,1,Rusty Swan,Barquentine,Seamus Malone,7,Hex E1,Fishing,25%
120,Hex I3,April 1407 Week 2,I3-I4-H5-H6-G6-F6-G6-H6-H5-I4-I3,10,Black Tortoise,Barquentine,Fergus Bracken,10011,Hex F6,Scouting,Destroyed
121,Hex P15,April 1407 Week 3,P15-O15-N15-M15-M14-N14-O14-O15-P15,2,Green Pearl,Galleon,Liam MacDougal,4,Hex M14,Scouting,24%
122,Hex P15,April 1407 Week 3,P15-Q15-R14-R13-S12-R13-Q13-Q14-P15,44,Scurvy Duck,Dhow,Kelly MacArthur,7,Hex S12,Fishing,0%
123,Hex G13,April 1407 Week 3,G13-H13-I14-J14-K14-J13-I13-H13-G13,49,Red Bottom,Carrack,Liam O'Connell,8,Hex K14,Scouting,37%
124,Hex G13,April 1407 Week 3,G13-H13-I13-J12-J11-K11-L10-L9-M9-N8-N7-O6-P6-Q6,38,Golden Falcon,Carrack,Sean Hogan,10,Hex Q6,Transfer,37%
125,Hex Q6,April 1407 Week 3,Q6-P6-O6-N5-M5-L5-M6-N6-O6-P6-Q6,55,Bloody Pearl,Carrack,Brandon Sweeney,10012,Hex L5,Scouting,4%
126,Hex Q6,April 1407 Week 3,Q6-P6-O6-N5-N4-M4-L4-K3-J3-I3,14,Scurvy Hind,Dhow,Angus O'Connell,4,Hex I3,Cargo: Magefruit,Destroyed
128,Hex I3,April 1407 Week 3,I3-J3-K3-L4-M4-M5-N5-O6-P6-Q6,26,Silver Goose,Barquentine,Fergus Callahan,10012,Hex Q6,Cargo: Darkwood,20%
129,Hex I3,April 1407 Week 3,I3-I4-I5-J6-J7-K8-K9-L10-L11-M12-N12-N13-O14-O15-P15,27,Gray Hind,Carrack,Baron Ulbrecht von Kaulbach,10012,Hex P15,Cargo: Mythril,4%
130,Hex I3,April 1407 Week 3,I3-J4-I5-I6-H7-I6-H5-I4-I3,4,Saucy Falcon,Carrack,Baron Gerhart von Alfeldt,10012,Hex H7,Fishing,27%
131,Hex I3,April 1407 Week 3,I3-I4-I5-I6-I7-I8-H9-I10-H11-H12-G13,18,Golden Tortoise,Galleon,Patrick Blake,13,Hex G13,Cargo: Darkwood,20%
132,Hex P15,April 1407 Week 4,P15-O15-O14-N13-M13-L13-K13-J13-I13-H13-G13,78,Orange Swan,Galleon,Count Friedrich von Zelig,10013,Hex G13,Cargo: Darkwood,60%
133,Hex P15,April 1407 Week 4,P15-Q14-Q13-R12-R11-R10-Q9-Q8-Q7-Q6,71,Golden Bottom,Dhow,Count Friedrich von Bismarck,9,Hex Q6,Cargo: Darkwood,60%
134,Hex P15,April 1407 Week 4,P15-O15-N15-M15-L15-K15-L15-M15-N15-O15-P15,48,Purple Falcon,Galleon,Jack Flyn,6,Hex K15,Fishing,24%
135,Hex G13,April 1407 Week 4,G13-G12-G11-H10-G9-H8-H7-H6-H5-I4-I3,77,White Duck,Carrack,Seamus Darry,12,Hex I3,Cargo: Magefruit,37%
136,Hex G13,April 1407 Week 4,G13-F13-E13-E12-D12-C12-D12-E12-E13-F13-G13,54,Red Heart,Barquentine,Conor Hogan,4,Hex C12,Scouting,0%
137,Hex G13,April 1407 Week 4,G13-F13-F12-E12-D11-D10-D11-E12-F12-G12-G13,68,Golden Swan,Carrack,Baron Ulbrecht von Lundorf,9,Hex D10,Fishing,0%
138,Hex G13,April 1407 Week 4,G13-H13-I13-J14-K14-K15-K14-J14-I14-H13-G13,21,Mopey Tortoise,Barquentine,Neil Aubrey,4,Hex K15,Scouting,40%
139,Hex Q6,April 1407 Week 4,Q6-P7-Q8-Q9-Q8-Q7-Q6,16,Gray Falcon,Dhow,Liam Teague,4,Hex Q9,Fishing,0%
142,Hex Q6,April 1407 Week 4,Q6-Q7-Q8-P9-P8-P7-Q6,90,Scurvy Falcon,Barquentine,Sean Cullen,4,Hex P9,Fishing,40%
143,Hex I3,April 1407 Week 4,I3-I4-I5-J6-J7-K8-K9-L10-L11-M11-N12-N13-O14-O15-P15,11,White Hind,Galleon,Sir Ulbrecht von Bismarck,5,Hex P15,Cargo: Mythril,94%
144,Hex I3,April 1407 Week 4,I3-I4-H4-G4-F4-E4-F4-G4-H4-I4-I3,22,Purple Heart,Galleon,Patrick Flyn,14,Hex E4,Scouting,20%
145,Hex P15,April 1407 Week 1,P15-O15-O14-N13-M13-N14-N15-O15-P15,75,Mopey Swan,Barquentine,Lord Karl von Chlodwig,6,Hex M13,Fishing,10%
146,Hex P15,April 1407 Week 1,P15-Q14-Q13-R12-R11-R10-Q9-Q8-P7-Q6,31,Saucy Swan,Barquentine,Brandon Flyn,10014,Hex Q6,Cargo: Darkwood,5%
147,Hex G13,April 1407 Week 1,G13-H13-I12-I11-J10-J9-J10-I11-I12-H12-G13,5,White Swan,Barquentine,Patrick Flyn,10,Hex J9,Scouting,0%
148,Hex G13,April 1407 Week 1,G13-G12-G11-H10-H9-I8-H7-H6-H5-I4-I3,33,Scurvy Bottom,Galleon,Baron Karl von Reinhardt,13,Hex I3,Cargo: Magefruit,30%
